running,indoor_temperature,out_door_temperature,date_time
False,22.5,-0.5,2022-12-19 19:36:54.119820
False,22.5,-0.5,2022-12-19 19:37:52.193335
False,22.5,-0.5,2022-12-19 19:38:54.114861
False,22.5,-0.5,2022-12-19 19:39:54.149336
False,22.5,-0.5,2022-12-19 19:40:54.137947
False,22.5,-0.5,2022-12-19 19:41:54.109824
False,22.5,-0.5,2022-12-19 19:42:54.100186
False,22.5,-0.5,2022-12-19 19:43:54.108561
False,22.5,-0.5,2022-12-19 19:44:54.111236
False,22.5,-0.5,2022-12-19 19:45:54.182846
True,22.5,-1.0,2022-12-19 19:46:54.127409
True,22.5,-1.5,2022-12-19 19:47:54.125693
False,22.5,-1.5,2022-12-19 19:48:55.774472
True,22.5,-1.0,2022-12-19 19:49:54.123890
True,22.0,-1.0,2022-12-19 19:50:54.132816
True,22.5,-1.0,2022-12-19 19:51:54.102357
True,24.0,-1.0,2022-12-19 19:52:54.117395
True,24.0,-0.5,2022-12-19 19:53:54.116629
True,24.0,-1.0,2022-12-19 19:54:54.114957
True,24.0,-1.5,2022-12-19 19:55:54.124478
True,24.0,-2.0,2022-12-19 19:56:54.115541
True,24.0,-2.0,2022-12-19 19:57:54.119577
True,23.0,-2.0,2022-12-19 19:58:54.111095
True,23.0,-2.0,2022-12-19 19:59:54.115747
True,23.0,-2.0,2022-12-19 20:00:54.145821
True,23.0,-2.0,2022-12-19 20:01:54.120616
True,23.0,-2.5,2022-12-19 20:02:54.115446
True,23.0,-2.5,2022-12-19 20:04:56.458200
True,23.0,-2.5,2022-12-19 20:05:54.410038
True,23.0,-2.5,2022-12-19 20:06:54.407890
True,23.0,-2.5,2022-12-19 20:07:54.406741
True,23.0,-2.5,2022-12-19 20:08:53.482472
True,23.0,-2.5,2022-12-19 20:09:54.430722
True,25.0,-2.5,2022-12-19 20:10:54.341991
True,25.0,-2.5,2022-12-19 20:11:54.404611
True,25.0,-2.5,2022-12-19 20:12:54.295216
True,25.0,-2.5,2022-12-19 20:13:54.396011
True,25.0,-2.5,2022-12-19 20:14:54.291761
True,25.0,-2.5,2022-12-19 20:15:54.290311
True,24.0,-2.5,2022-12-19 20:16:53.470431
True,24.0,-2.5,2022-12-19 20:17:54.491057
True,24.0,-2.5,2022-12-19 20:18:50.496292
True,23.0,-2.5,2022-12-19 20:19:54.486845
True,23.0,-2.5,2022-12-19 20:20:54.383534
True,23.0,-2.5,2022-12-19 20:21:54.382329
True,23.0,-2.5,2022-12-19 20:22:54.380323
True,23.0,-2.5,2022-12-19 20:23:50.511956
True,23.0,-2.5,2022-12-19 20:24:54.376359
True,23.0,-2.5,2022-12-19 20:25:54.375040
True,23.0,-2.5,2022-12-19 20:26:54.375528
True,22.0,-2.5,2022-12-19 20:27:54.404178
True,22.0,-2.5,2022-12-19 20:28:54.473683
True,22.0,-2.5,2022-12-19 20:29:54.367656
True,22.0,-2.5,2022-12-19 20:30:50.884985
True,22.0,-2.5,2022-12-19 20:31:54.465972
True,22.0,-2.5,2022-12-19 20:32:54.393393
False,25.0,-2.5,2022-12-19 20:33:54.360610
False,25.5,-2.5,2022-12-19 20:34:54.460490
False,25.5,-2.0,2022-12-19 20:35:54.460352
False,25.5,-1.5,2022-12-19 20:36:54.355136
False,25.0,-1.0,2022-12-19 20:37:54.353606
False,24.5,-1.0,2022-12-19 20:38:54.351821
False,24.5,-0.5,2022-12-19 20:39:54.451791
False,24.5,-0.5,2022-12-19 20:40:54.655305
False,24.0,-0.5,2022-12-19 20:41:54.346489
False,24.0,-0.5,2022-12-19 20:42:50.455376
False,23.5,0,2022-12-19 20:59:40.492316
False,23.5,0,2022-12-19 21:00:40.798181
False,23.5,0,2022-12-19 21:01:40.694045
False,23.5,0.5,2022-12-19 21:02:40.796152
False,23.5,0.5,2022-12-19 21:03:40.625505
False,23.5,0.5,2022-12-19 21:04:40.670058
False,23.5,0.5,2022-12-19 21:05:40.788954
False,23.5,0.5,2022-12-19 21:06:40.687454
False,23.5,0.5,2022-12-19 21:07:40.788210
False,23.5,0.5,2022-12-19 21:08:40.786189
False,23.5,0.5,2022-12-19 21:09:40.679583
False,23.5,0.5,2022-12-19 21:10:40.780514
False,23.5,0.5,2022-12-19 21:11:40.778721
False,23.5,0.5,2022-12-19 21:12:36.886279
False,23.5,0.5,2022-12-19 21:13:40.775284
False,23.5,0.5,2022-12-19 21:14:40.773581
False,23.5,0.5,2022-12-19 21:15:40.772126
False,23.5,0,2022-12-19 21:16:40.769953
False,23.0,0,2022-12-19 21:17:40.768083
False,23.0,0,2022-12-19 21:18:40.766757
False,23.0,0,2022-12-19 21:19:40.662406
False,23.0,0,2022-12-19 21:20:40.660610
False,23.0,0,2022-12-19 21:30:41.119107
False,23.0,0,2022-12-19 21:31:40.597297
False,23.0,0,2022-12-19 21:32:44.384835
False,23.0,0,2022-12-19 21:33:44.588823
False,23.0,0,2022-12-19 21:34:44.485022
False,23.0,0,2022-12-19 21:35:44.586581
False,22.5,0,2022-12-19 22:12:13.323103
False,22.5,0,2022-12-19 22:13:13.322143
False,22.5,0,2022-12-19 22:14:13.321332
False,22.0,0,2022-12-19 22:15:13.320216
False,22.0,0,2022-12-19 22:16:13.421477
