running,indoor_temperature,out_door_temperature,date_time
False,19.0,10.0,2022-12-20 08:43:35.606617
False,19.0,10.0,2022-12-20 08:44:39.286599
False,20.5,10.0,2022-12-20 10:32:28.171560
False,20.5,10.0,2022-12-20 10:33:28.024924
False,20.5,10.0,2022-12-20 10:34:28.027576
False,20.5,10.0,2022-12-20 10:35:27.983238
False,20.5,10.0,2022-12-20 10:36:28.029788
False,21.0,10.0,2022-12-20 10:37:28.031515
False,21.0,10.0,2022-12-20 10:38:28.032952
False,21.0,10.0,2022-12-20 10:39:28.023474
False,21.0,10.0,2022-12-20 10:40:28.031493
False,20.5,10.0,2022-12-20 10:41:28.554191
False,20.5,10.0,2022-12-20 10:42:28.039402
False,20.5,10.0,2022-12-20 10:43:28.018084
False,20.5,10.0,2022-12-20 10:44:28.038172
False,21.0,10.0,2022-12-20 10:45:28.020420
False,21.0,10.0,2022-12-20 10:46:28.055607
False,21.0,10.0,2022-12-20 10:47:28.052749
False,21.0,10.0,2022-12-20 10:48:28.011179
False,21.0,10.0,2022-12-20 10:49:28.014680
False,21.0,10.0,2022-12-20 10:50:27.969981
False,21.0,10.0,2022-12-20 10:51:28.046938
False,21.0,10.0,2022-12-20 10:52:28.038835
False,21.0,10.0,2022-12-20 10:53:28.018440
False,21.0,10.0,2022-12-20 10:54:28.016774
False,20.5,10.0,2022-12-20 10:55:28.018144
False,20.5,10.0,2022-12-20 10:56:28.036789
False,20.5,10.0,2022-12-20 10:57:28.055335
False,21.0,10.0,2022-12-20 10:58:28.020156
False,21.0,10.0,2022-12-20 10:59:28.010946
False,21.0,10.0,2022-12-20 11:00:28.010598
False,21.0,10.0,2022-12-20 11:01:28.212383
False,21.0,10.0,2022-12-20 11:02:28.091670
False,21.0,10.0,2022-12-20 11:03:28.145109
False,21.0,10.0,2022-12-20 11:04:28.037401
False,21.0,10.0,2022-12-20 11:05:28.037065
False,21.0,10.0,2022-12-20 11:06:28.022425
False,21.0,10.0,2022-12-20 11:07:28.024057
False,21.0,10.0,2022-12-20 11:08:28.033633
False,20.5,10.0,2022-12-20 11:09:28.018188
False,20.5,10.0,2022-12-20 11:10:27.981690
False,20.5,10.0,2022-12-20 11:11:28.046583
False,20.5,10.0,2022-12-20 11:12:28.049969
False,20.5,10.0,2022-12-20 11:13:28.015967
False,20.5,10.0,2022-12-20 11:14:28.028993
False,20.5,10.0,2022-12-20 11:15:28.027608
False,20.5,10.0,2022-12-20 11:16:28.055609
False,20.5,10.0,2022-12-20 11:17:28.051866
False,20.5,10.0,2022-12-20 11:18:28.022320
False,20.5,10.0,2022-12-20 11:19:28.020728
False,20.5,10.0,2022-12-20 11:20:28.018918
False,20.5,10.0,2022-12-20 11:21:28.008365
False,20.5,10.0,2022-12-20 11:22:28.060318
False,20.5,10.0,2022-12-20 11:23:28.024138
False,20.5,10.0,2022-12-20 11:24:28.023537
False,20.5,10.0,2022-12-20 11:25:28.024743
False,20.5,10.0,2022-12-20 11:26:28.051793
False,20.5,10.0,2022-12-20 11:27:28.017147
False,20.5,10.0,2022-12-20 11:28:28.019706
False,20.5,10.0,2022-12-20 11:29:28.006861
False,20.5,10.0,2022-12-20 11:30:28.010057
False,20.5,10.0,2022-12-20 11:31:28.071975
False,20.5,10.0,2022-12-20 11:32:28.017854
False,20.5,10.0,2022-12-20 11:33:28.023275
False,20.5,10.0,2022-12-20 11:34:28.021270
False,20.0,10.0,2022-12-20 11:35:28.034108
False,20.0,10.0,2022-12-20 11:42:35.262403
False,20.0,10.0,2022-12-20 11:43:35.260108
False,20.0,10.0,2022-12-20 11:44:35.258519
False,20.0,10.0,2022-12-20 11:45:35.251907
False,20.0,10.0,2022-12-20 11:46:35.254627
False,20.0,10.0,2022-12-20 11:47:35.283983
False,20.0,10.0,2022-12-20 11:48:35.249216
False,20.0,10.0,2022-12-20 11:49:35.255270
False,20.0,10.0,2022-12-20 11:50:35.255719
False,20.0,10.0,2022-12-20 11:51:35.254689
False,20.0,10.0,2022-12-20 11:52:35.259890
False,20.0,10.0,2022-12-20 11:53:35.260184
False,20.0,10.0,2022-12-20 11:54:35.260813
